FlowId,PacketUid,Protocol,PacketSize,IngressPort,EgressPort,Type,Queue,Quantum,PhyRxEndTime,PhyTxEndTime,Source,Destination
0,0,6,56,1,5,FIFO,0,-1,2000926,2001389,101.0.1.1,11.1.1.2
2,0,6,56,3,7,Drr,0,800,2000926,2001389,103.0.1.1,13.1.1.2
3,0,6,56,4,8,WFQ,1,1600,2000926,2001389,104.0.1.1,14.1.1.2
1,0,6,56,2,6,SP,2,-1,2000926,2001389,102.0.1.1,12.1.1.2
4,0,6,56,1,5,FIFO,0,-1,2001389,2001852,101.0.3.1,11.1.1.2
5,0,6,56,2,6,SP,4,-1,2001389,2001852,102.0.3.1,12.1.1.2
6,0,6,56,3,7,Drr,5,800,2001389,2001852,103.0.3.1,13.1.1.2
7,0,6,56,4,8,WFQ,1,1600,2001389,2001852,104.0.3.1,14.1.1.2
11,0,6,56,4,8,WFQ,6,5600,2001852,2002315,104.0.5.1,14.1.1.2
8,0,6,56,1,5,FIFO,0,-1,2001852,2002315,101.0.5.1,11.1.1.2
10,0,6,56,3,7,Drr,7,800,2001852,2002315,103.0.5.1,13.1.1.2
9,0,6,56,2,6,SP,6,-1,2001852,2002315,102.0.5.1,12.1.1.2
12,0,6,56,1,5,FIFO,0,-1,2002315,2002778,101.0.7.1,11.1.1.2
14,0,6,56,3,7,Drr,7,800,2002315,2002778,103.0.7.1,13.1.1.2
13,0,6,56,2,6,SP,4,-1,2002315,2002778,102.0.7.1,12.1.1.2
15,0,6,56,4,8,WFQ,0,800,2002315,2002778,104.0.7.1,14.1.1.2
17,0,6,56,2,6,SP,1,-1,2002778,2003241,102.0.9.1,12.1.1.2
18,0,6,56,3,7,Drr,6,800,2002778,2003241,103.0.9.1,13.1.1.2
16,0,6,56,1,5,FIFO,0,-1,2002778,2003241,101.0.9.1,11.1.1.2
19,0,6,56,4,8,WFQ,6,5600,2002778,2003241,104.0.9.1,14.1.1.2
21,0,6,56,6,2,SP,1,-1,4001852,4002315,12.1.1.2,102.0.1.1
20,0,6,56,5,1,FIFO,0,-1,4001852,4002315,11.1.1.2,101.0.1.1
22,0,6,56,7,3,Drr,1,800,4001852,4002315,13.1.1.2,103.0.1.1
23,0,6,56,8,4,WFQ,0,800,4001852,4002315,14.1.1.2,104.0.1.1
24,0,6,56,5,1,FIFO,0,-1,4002315,4002778,11.1.1.2,101.0.3.1
26,0,6,56,7,3,Drr,4,800,4002315,4002778,13.1.1.2,103.0.3.1
25,0,6,56,6,2,SP,1,-1,4002315,4002778,12.1.1.2,102.0.3.1
27,0,6,56,8,4,WFQ,0,800,4002315,4002778,14.1.1.2,104.0.3.1
31,0,6,56,8,4,WFQ,7,6400,4002778,4003241,14.1.1.2,104.0.5.1
30,0,6,56,7,3,Drr,5,800,4002778,4003241,13.1.1.2,103.0.5.1
28,0,6,56,5,1,FIFO,0,-1,4002778,4003241,11.1.1.2,101.0.5.1
29,0,6,56,6,2,SP,3,-1,4002778,4003241,12.1.1.2,102.0.5.1
34,0,6,56,7,3,Drr,4,800,4003241,4003704,13.1.1.2,103.0.7.1
32,0,6,56,5,1,FIFO,0,-1,4003241,4003704,11.1.1.2,101.0.7.1
35,0,6,56,8,4,WFQ,1,1600,4003241,4003704,14.1.1.2,104.0.7.1
33,0,6,56,6,2,SP,1,-1,4003241,4003704,12.1.1.2,102.0.7.1
38,0,6,56,7,3,Drr,1,800,4003704,4004167,13.1.1.2,103.0.9.1
39,0,6,56,8,4,WFQ,5,4800,4003704,4004167,14.1.1.2,104.0.9.1
36,0,6,56,5,1,FIFO,0,-1,4003704,4004167,11.1.1.2,101.0.9.1
37,0,6,56,6,2,SP,2,-1,4003704,4004167,12.1.1.2,102.0.9.1
3,1,6,52,4,8,WFQ,1,1600,8003642,8004074,104.0.1.1,14.1.1.2
0,1,6,52,1,5,FIFO,0,-1,8003642,8004074,101.0.1.1,11.1.1.2
